From,To,FromWeight,ToWeight
A01,A05,01,05
A01,A09,01,09
A02,A07,02,07
A03,A06,03,06
A03,A07,03,07
A03,A10,03,10
A03,A11,03,11
A03,A12,03,12
A03,A17,03,17
A03,A19,03,19
A03,A23,03,23
A03,A27,03,27
A03,A31,03,31
A03,A32,03,32
A03,A34,03,34
A03,A35,03,35
A03,A40,03,40
A05,A08,05,08
A05,A09,05,09
A05,A10,05,10
A05,A12,05,12
A05,A13,05,13
A05,A14,05,14
A05,A15,05,15
A05,A16,05,16
A05,A18,05,18
A05,A19,05,19
A05,A20,05,20
A05,A21,05,21
A05,A22,05,22
A05,A24,05,24
A05,A25,05,25
A05,A26,05,26
A05,A28,05,28
A05,A30,05,30
A05,A33,05,33
A05,A34,05,34
A05,A35,05,35
A05,A41,05,41
A06,A11,06,11
A06,A12,06,12
A06,A17,06,17
A06,A19,06,19
A06,A23,06,23
A06,A24,06,24
A06,A27,06,27
A06,A31,06,31
A06,A34,06,34
A06,A35,06,35
A06,A40,06,40
A06,A42,06,42
A06,A44,06,44
A06,A47,06,47
A07,A11,07,11
A07,A12,07,12
A07,A16,07,16
A07,A17,07,17
A07,A18,07,18
A07,A19,07,19
A07,A23,07,23
A07,A24,07,24
A07,A27,07,27
A07,A28,07,28
A07,A29,07,29
A07,A31,07,31
A07,A32,07,32
A07,A33,07,33
A07,A34,07,34
A07,A35,07,35
A07,A36,07,36
A07,A38,07,38
A07,A39,07,39
A07,A40,07,40
A07,A41,07,41
A07,A42,07,42
A07,A44,07,44
A07,A45,07,45
A07,A46,07,46
A07,A47,07,47
A07,A49,07,49
A07,A50,07,50
A08,A08,08,08
A08,A13,08,13
A08,A16,08,16
A08,A18,08,18
A08,A21,08,21
A08,A26,08,26
A08,A29,08,29
A08,A30,08,30
A08,A32,08,32
A08,A35,08,35
A08,A38,08,38
A08,A41,08,41
A09,A08,09,08
A09,A10,09,10
A09,A12,09,12
A09,A13,09,13
A09,A14,09,14
A09,A15,09,15
A09,A16,09,16
A09,A18,09,18
A09,A19,09,19
A09,A20,09,20
A09,A21,09,21
A09,A22,09,22
A09,A24,09,24
A09,A25,09,25
A09,A26,09,26
A09,A27,09,27
A09,A28,09,28
A09,A29,09,29
A09,A30,09,30
A09,A31,09,31
A09,A32,09,32
A09,A33,09,33
A09,A34,09,34
A09,A35,09,35
A09,A37,09,37
A09,A39,09,39
A09,A41,09,41
A09,A42,09,42
A09,A43,09,43
A09,A46,09,46
A09,A48,09,48
A10,A11,10,11
A10,A28,10,28
A10,A29,10,29
A10,A34,10,34
A10,A38,10,38
A10,A39,10,39
A10,A40,10,40
A10,A42,10,42
A10,A45,10,45
A10,A46,10,46
A10,A50,10,50
A10,A51,10,51
A11,A35,11,35
A11,A36,11,36
A11,A39,11,39
A11,A40,11,40
A11,A42,11,42
A11,A45,11,45
A11,A48,11,48
A11,A49,11,49
A12,A38,12,38
A12,A43,12,43
A12,A45,12,45
A12,A47,12,47
A12,A50,12,50
A12,A51,12,51
A13,A25,13,25
A13,A26,13,26
A13,A29,13,29
A13,A30,13,30
A13,A32,13,32
A13,A33,13,33
A13,A34,13,34
A13,A35,13,35
A13,A36,13,36
A13,A38,13,38
A13,A39,13,39
A13,A41,13,41
A13,A43,13,43
A13,A44,13,44
A13,A45,13,45
A13,A46,13,46
A13,A48,13,48
A13,A49,13,49
A14,A08,14,08
A14,A13,14,13
A14,A30,14,30
