From,To,Weight
A48,A32,0.819
A48,A35,0.81
A09,A29,0.685
A52,A04,0.646
A09,A22,0.578
A44,A15,0.568
A09,A25,0.566
A44,A40,0.539
A03,A19,0.503
A48,A42,0.5
A05,A14,0.487
A52,A07,0.474
A07,A36,0.472
A48,A45,0.47
A05,A15,0.461
A48,A33,0.449
A09,A33,0.422
A01,A09,0.41
A52,A08,0.408
A52,A06,0.406
A44,A27,0.384
A01,A05,0.376
A52,A11,0.363
A09,A30,0.361
A09,A37,0.349
A44,A11,0.345
A01,A29,0.336
A07,A17,0.332
A01,A22,0.317
A01,A20,0.306
A01,A25,0.305
A05,A18,0.296
A03,A27,0.282
A01,A33,0.281
A01,A14,0.28
A16,A47,0.28
A44,A31,0.279
A03,A23,0.278
A01,A15,0.275
A52,A03,0.274
A08,A38,0.27
A07,A11,0.266
A52,A17,0.266
A09,A28,0.264
A16,A37,0.261
A52,A36,0.258
A09,A35,0.255
A52,A12,0.255
A01,A28,0.254
A44,A23,0.252
A44,A25,0.251
A49,A51,0.251
A44,A46,0.25
A09,A32,0.242
A16,A02,0.24
A01,A30,0.233
A44,A20,0.232
A09,A43,0.226
A48,A50,0.225
A03,A12,0.223
A01,A37,0.214
A52,A23,0.214
A06,A40,0.213
A48,A49,0.211
A17,A45,0.21
A06,A23,0.206
A52,A19,0.204
A05,A24,0.202
A09,A13,0.201
A01,A35,0.197
A13,A32,0.193
A01,A41,0.188
A09,A20,0.188
A44,A43,0.188
A52,A27,0.181
A17,A02,0.18
A52,A10,0.179
A05,A41,0.176
A17,A34,0.176
A52,A32,0.174
A44,A12,0.171
A01,A24,0.17
A01,A42,0.169
A06,A31,0.168
A16,A41,0.168
A01,A18,0.167
A17,A03,0.167
A26,A14,0.166
A48,A06,0.165
A09,A42,0.163
A11,A45,0.162
A17,A51,0.158
A01,A13,0.157
A05,A20,0.156
A13,A35,0.155
A14,A46,0.155
A16,A27,0.154
A52,A34,0.153
A16,A40,0.151
A52,A45,0.151
A01,A48,0.15
A52,A26,0.15
A03,A02,0.149
A09,A48,0.149
A09,A19,0.148
A14,A42,0.148
A52,A31,0.148
A05,A16,0.145
A06,A44,0.145
A35,A51,0.145
A06,A34,0.141
A46,A24,0.141
A52,A49,0.141
A06,A27,0.14
A17,A32,0.137
A08,A16,0.135
A01,A10,0.131
A01,A16,0.131
A48,A14,0.13
A14,A44,0.129
A07,A31,0.127
A35,A10,0.126
A48,A28,0.126
A52,A44,0.125
A06,A15,0.123
A52,A38,0.122
A09,A10,0.12
A13,A49,0.12
A11,A49,0.119
A17,A49,0.118
A16,A38,0.116
A05,A46,0.114
A07,A44,0.114
A39,A17,0.113
A13,A48,0.111
A01,A43,0.109
A07,A32,0.108
A06,A17,0.107
A10,A40,0.107
A29,A33,0.107
A07,A45,0.104
A13,A05,0.104
A52,A40,0.104
A16,A48,0.102
A49,A34,0.102
A01,A32,0.101
A23,A50,0.101
A10,A38,0.0999
A05,A40,0.0998
A27,A49,0.0977
A08,A02,0.0975
A01,A19,0.0974
A49,A10,0.0945
A35,A33,0.0938
A34,A47,0.0936
A01,A50,0.093
A45,A51,0.0922
A12,A51,0.0907
A26,A09,0.0905
A45,A33,0.0901
A17,A19,0.0899
A34,A07,0.0891
A26,A29,0.0889
A07,A49,0.0882
A14,A51,0.0882
A07,A34,0.0881
A09,A45,0.0866
A24,A36,0.0864
A48,A38,0.0857
A52,A13,0.0851
A13,A45,0.085
A48,A39,0.0848
A10,A50,0.0839
A09,A49,0.0837
A38,A33,0.0833
A06,A02,0.0831
A44,A24,0.0831
A07,A51,0.0826
A01,A39,0.0824
A35,A12,0.0817
A44,A47,0.0815
A16,A06,0.0807
A52,A39,0.0803
A05,A50,0.0799
A40,A27,0.0799
A16,A31,0.0793
A05,A47,0.078
A08,A18,0.0779
A13,A39,0.077
A17,A35,0.0769
A16,A50,0.0767
A39,A49,0.0766
A34,A36,0.0763
A48,A37,0.0763
A39,A12,0.0753
A17,A36,0.0741
A13,A07,0.0738
A05,A44,0.0734
A47,A12,0.0731
A44,A03,0.0725
A16,A26,0.071
A52,A47,0.0705
A14,A39,0.0703
A16,A33,0.0698
A26,A22,0.0697
A03,A32,0.0692
A05,A02,0.0686
A06,A47,0.0686
A16,A03,0.0686
A35,A40,0.0668
A07,A18,0.0664
A27,A12,0.0663
A16,A35,0.0651
A45,A44,0.0649
A16,A34,0.0644
A06,A11,0.0637
A10,A46,0.0632
A07,A41,0.0628
A14,A41,0.0624
A52,A48,0.062
A48,A29,0.0617
A07,A16,0.0615
A24,A33,0.0612
A52,A16,0.0612
A14,A40,0.0608
A14,A01,0.0598
