id,functionalGroup,category,trophicLevel,Number
A01,Phytoplankton,Producers,1,1
A02,Macroalgae and Kelp,Producers,1,2
A03,Invertebrates (Sessile Detritivores),Invertebrates,2,3
A04,Invertebrates (Corals and Sponges),Invertebrates,2,4
A05,Copepods,Invertebrates,2,5
A06,Invertebrates (Sessile Carnivores),Invertebrates,2.06,6
A07,Invertebrates (Epifaunal),Invertebrates,2.06,7
A08,Gelatinous Zooplankton,Invertebrates,2.163851,8
A09,Krill,Invertebrates,2.2,9
A10,Shrimp,Invertebrates,2.66,10
A11,Crabs (Large),Invertebrates,2.856894,11
A12,Pacific Cod (Juvenile),Benthic Fish,2.919798,12
A13,Cephalopods (Small),Invertebrates,2.919913,13
A14,Herring (Juvenile),Pelagic Fish,3.02,14
A15,Pacific Perch (Juvenile),Pelagic Fish,3.04,15
A16,Forage Fish,Pelagic Fish,3.04024,16
A17,Crabs (Small),Invertebrates,3.054,17
A18,Eulachon,Pelagic Fish,3.05877,18
A19,Whales (Baleen),Mammals,3.065743,19
A20,Rockfish (Juvenile Herbivore),Benthic Fish,3.1,20
A21,Salmon (Transient),Pelagic Fish,3.115963,21
A22,Herring (Adult),Pelagic Fish,3.18,22
A23,Flatfish (Juvenile),Benthic Fish,3.159412,23
A24,Pollock (Juvenile),Pelagic Fish,3.1848,24
A25,Pacific Perch (Adult),Pelagic Fish,3.204368,25
A26,Cephalopods (Large),Invertebrates,3.227478,26
A27,Flatfish (Adult),Benthic Fish,3.263858,27
A28,Rockfish (Juvenile Carnivore),Benthic Fish,3.2574,28
A29,Sablefish (Juvenile),Benthic Fish,3.289551,29
A30,Rockfish (Adult Herbivore),Benthic Fish,3.479329,30
A31,Ratfish,Benthic Fish,3.412058,31
A32,Rockfish (Adult Carnivore),Benthic Fish,3.328845,32
A33,Pollock (Adult),Pelagic Fish,3.480898,33
A34,Benthic Fish,Benthic Fish,3.61021,34
A35,Dogfish,Benthic Fish,3.61589,35
A36,Sea Otters,Mammals,3.625503,36
A37,Salmon (Chinook),Pelagic Fish,3.670361,37
A38,Sablefish (Adult),Benthic Fish,3.678421,38
A39,Turbot (Adult),Benthic Fish,3.68554,39
A40,Sharks and Rays,Pelagic Fish,3.711499,40
A41,Seabirds,Seabirds,3.72258,41
A42,Rockfish (Coastal),Benthic Fish,3.728381,42
A43,Salmon (Coho),Pelagic Fish,3.754261,43
A44,Pinnipeds,Mammals,3.773137,44
A45,Halibut (Juvenile),Benthic Fish,3.818166,45
A46,Turbot (Juvenile),Benthic Fish,3.898125,46
A47,Pacific Cod (Adult),Pelagic Fish,3.906217,47
A48,Whales (Toothed),Mammals,3.99514,48
A49,Halibut (Adult),Benthic Fish,4.003436,49
A50,Lingcod (Juvenile),Benthic Fish,4.041846,50
A51,Lingcod (Adult),Benthic Fish,4.121382,51
A52,Detritus,Inorganics,1,52
